,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
2100,708 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,992242.0,228195.0,"708 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.7930523, -73.9713111)"
2137,702 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,992209.0,228135.0,"702 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.793007, -73.971532)"
2144,701 ST NICHOLAS AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999565.0,239553.0,"701 ST NICHOLAS AVENUE, NEW YORK, NEW YORK","(40.824321, -73.944947)"
2150,700 RIVERSIDE DRIVE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,04/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997872.0,241085.0,"700 RIVERSIDE DRIVE, NEW YORK, NEW YORK","(40.828373, -73.950436)"
2299,67 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/05/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,986270.0,200395.0,"67 ELDRIDGE STREET, NEW YORK, NEW YORK","(40.7166983, -73.9928268)"
2303,679 8 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,3.0,05/13/2011 07:00:00 AM +0000,Open,Unspecified,,987192.0,215367.0,"679 8 AVENUE, NEW YORK, NEW YORK","(40.7578797, -73.9893429)"
2329,674 ACADEMY STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,04/08/2011 07:00:00 AM +0000,Open,Unspecified,,1004908.0,255083.0,"674 ACADEMY STREET, NEW YORK, NEW YORK","(40.86671200000001, -73.92566099999999)"
2350,670 ACADEMY STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,05/11/2011 07:00:00 AM +0000,Open,Unspecified,,1004923.0,255052.0,"670 ACADEMY STREET, NEW YORK, NEW YORK","(40.8667624, -73.9252793)"
2358,66 WEST 84 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,01/17/2011 08:00:00 AM +0000,Open,Unspecified,,991990.0,225167.0,"66 WEST 84 STREET, NEW YORK, NEW YORK","(40.7850063, -73.9729016)"
2360,66 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,05/13/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,998396.0,231357.0,"66 WEST 116 STREET, NEW YORK, NEW YORK","(40.801566, -73.9493339)"
2363,66 OVERLOOK TERRACE,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,04/07/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001992.0,250863.0,"66 OVERLOOK TERRACE, NEW YORK, NEW YORK","(40.8553913, -73.9356495)"
2366,66 JANE STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,07/28/2011 07:00:00 AM +0000,Open,Unspecified,,982493.0,208198.0,"66 JANE STREET, NEW YORK, NEW YORK","(40.7381244, -74.0064088)"
2393,665 WEST 182 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/06/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002265.0,249168.0,"665 WEST 182 STREET, NEW YORK, NEW YORK","(40.8505663, -73.9348053)"
2414,661 FIRST AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,4.0,09/21/2010 07:00:00 AM +0000,Open,Unspecified,,992082.0,211146.0,"661 FIRST AVENUE, NEW YORK, NEW YORK","(40.7461798, -73.97179059999999)"
2417,660 WEST 190 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/06/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1003302.0,250976.0,"660 WEST 190 STREET, NEW YORK, NEW YORK","(40.8555231, -73.9310507)"
2474,652 WEST 160 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,06/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999337.0,244129.0,"652 WEST 160 STREET, NEW YORK, NEW YORK","(40.836741, -73.946021)"
2504,64 MACDOUGAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,3.0,08/16/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983603.0,204434.0,"64 MACDOUGAL STREET, NEW YORK, NEW YORK","(40.72774, -74.00211)"
2516,647 ACADEMY STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,01/10/2011 08:00:00 AM +0000,Open,Unspecified,,1005073.0,254759.0,"647 ACADEMY STREET, NEW YORK, NEW YORK","(40.86600199999999, -73.92442799999999)"
2530,642 EAST 11 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,08/08/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,990235.0,204146.0,"642 EAST 11 STREET, NEW YORK, NEW YORK","(40.726719, -73.97776259999999)"
2548,640 WEST 134 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/14/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,995856.0,238200.0,"640 WEST 134 STREET, NEW YORK, NEW YORK","(40.8193534, -73.95543280000001)"
2564,63 HAMILTON TERRACE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/14/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,999134.0,239181.0,"63 HAMILTON TERRACE, NEW YORK, NEW YORK","(40.823413, -73.945728)"
