,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
9545,2083 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,08/01/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001039.0,244062.0,"2083 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.836523, -73.938941)"
9565,207 WEST 38 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,07/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,987206.0,213889.0,"207 WEST 38 STREET, NEW YORK, NEW YORK","(40.7539628, -73.98932649999999)"
9594,206 WEST 120 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997759.0,232930.0,"206 WEST 120 STREET, NEW YORK, NEW YORK","(40.80588600000001, -73.951526)"
9595,206 WEST 118 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,997561.0,232441.0,"206 WEST 118 STREET, NEW YORK, NEW YORK","(40.8046637, -73.9522307)"
9603,206 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002238.0,247187.0,"206 AUDUBON AVENUE, NEW YORK, NEW YORK","(40.845282, -73.93523499999999)"
9641,205 EAST 4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,08/08/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,988717.0,203002.0,"205 EAST 4 STREET, NEW YORK, NEW YORK","(40.724032, -73.983745)"
9647,205 CENTRE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,05/18/2011 07:00:00 AM +0000,Open,Graffiti Reported,,984502.0,201266.0,"205 CENTRE STREET, NEW YORK, NEW YORK","(40.7190288, -73.99916569999999)"
9651,2054 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,989220.0,222581.0,"2054 BROADWAY, NEW YORK, NEW YORK","(40.777413, -73.981537)"
9674,204 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/20/2011 07:00:00 AM +0000,Open,Unspecified,,998395.0,234097.0,"204 WEST 125 STREET, NEW YORK, NEW YORK","(40.8092833, -73.9485327)"
9676,204 EAST 58 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,4.0,01/14/2011 08:00:00 AM +0000,Open,Unspecified,,993512.0,216428.0,"204 EAST 58 STREET, NEW YORK, NEW YORK","(40.760515, -73.966673)"
